url,title,published,reason,kept_twin
https://www.citizen.co.za/network-news/lnn/article/failed-undersea-cables-leave-sa-slow-internet-ship-dispatched-deal-breaks/,"Failed undersea cables leave SA with slow internet, ship dispatched to deal with breaks - LNN - Network News",2020-01-18,out-of-window,
https://www.biometricupdate.com/202104/idemia-takes-over-sas-delayed-biometric-project-amid-allegations-of-contract-irregularities,Idemia takes over SA’s delayed biometric project amid allegations of contract irregularities | Biometric Update,2021-04-22,out-of-window,
https://techcentral.co.za/breaking-google-to-establish-cloud-region-in-south-africa/215924/,Google to establish cloud data centre 'region' in South Africa,2022-10-05,out-of-window,
https://www.citizen.co.za/news/microsoft-cloud-south-africa-data-centres/,Microsoft expands cloud services in South African data ...,2022-11-01,out-of-window,
https://www.itweb.co.za/article/vodacom-lands-2africa-subsea-cable-in-ecape/RgeVDMPRQEyvKJN3,Vodacom lands 2Africa subsea cable in ECape | ITWeb,2023-01-23,out-of-window,
https://www.computerweekly.com/news/252529490/Vodacom-lands-2Africa-subsea-cable-in-the-Eastern-Cape-South-Africa,"Vodacom lands 2Africa subsea cable in the Eastern Cape, South Africa | Computer Weekly",2023-01-24,out-of-window,
https://mybroadband.co.za/news/security/507116-south-africas-privacy-watchdog-investigating-data-breaches-at-credit-bureaus-in-south-africa.html,South Africa’s privacy watchdog investigating data breaches at credit bureaus – MyBroadband,2023-09-08,out-of-window,
https://www.cov.com/en/news-and-insights/insights/2024/02/south-africa-information-regulator-issues-first-enforcement-notice-in-direct-marketing-complaint,South Africa: Information Regulator Issues First Enforcement Notice in Direct Marketing Complaint | Covington & Burling LLP,2024-02-01,out-of-window,
https://www.citizen.co.za/lifestyle/technology/microsoft-build-data-centre-centurion-sa/,"Microsoft to build new data centre in Centurion, SA",2024-02-12,out-of-window,
https://www.cliffedekkerhofmeyr.com/news/publications/2024/Sector/Technology/technology-and-communications-alert-6-march-from-spam-to-slam-first-enforcement-notice-issued-by-the-information-regulator,From spam to slam: First enforcement notice issued by the Information Regulator - Cliffe Dekker Hofmeyr (CDH),2024-03-06,out-of-window,
https://techcentral.co.za/info-regulator-transunion-enforcement/242017/,Info Regulator slaps TransUnion with enforcement notice,2024-03-26,out-of-window,
https://www.dailymaverick.co.za/article/2024-03-26-information-regulator-cracks-whip-on-transunion-over-data-breach/,Information Regulator cracks whip on TransUnion over data breach,2024-03-26,out-of-window,
https://www.itweb.co.za/article/inforeg-slaps-transunion-with-enforcement-notice/wbrpO7g2K5nvDLZn,InfoReg slaps TransUnion with enforcement notice | ITWeb,2024-03-26,out-of-window,
